,Spec,Date,Release,Version
0,102204,8/28/2003,01,01.04_60
1,102207,8/28/2003,01,01.03_60
2,102209,8/26/2003,01,01.01_60
3,102209,2/17/2004,01,02.01_60
4,102210,11/28/2003,01,01.01_60
5,102210,1/18/2005,01,02.01_60
6,102219,6/13/2003,01,01.01_60
7,102220,4/20/2004,01,01.01_60
8,102221,9/14/2000,03,00.00_60
9,102221,1/4/2001,03,01.00_60
10,102221,3/8/2001,03,02.00_60
11,102221,5/11/2001,03,03.00_60
12,102221,7/31/2001,03,04.00_60
13,102221,10/31/2001,03,05.00_60
14,102221,3/19/2002,03,06.00_60
15,102221,5/2/2002,03,07.00_60
16,102221,7/23/2002,03,08.00_60
17,102221,10/25/2002,03,09.00_60
18,102221,2/25/2003,03,10.00_60
19,102221,6/6/2003,03,11.00_60
20,102221,9/26/2003,03,12.00_60
21,102221,1/12/2004,03,13.00_60
22,102221,6/23/2004,03,14.00_60
23,102221,12/16/2004,03,15.00_60
24,102221,8/4/2005,03,16.00_60
25,102221,10/13/2005,03,17.00_60
26,102221,7/24/2007,03,18.00_60
27,102221,1/4/2001,04,00.00_60
28,102221,3/8/2001,04,01.00_60
29,102221,5/11/2001,04,02.00_60
30,102221,7/31/2001,04,03.00_60
31,102221,10/31/2001,04,04.00_60
32,102221,3/19/2002,04,05.00_60
33,102221,5/2/2002,04,06.00_60
34,102221,7/23/2002,04,07.00_60
35,102221,10/25/2002,04,08.00_60
36,102221,2/25/2003,04,09.00_60
37,102221,6/6/2003,04,10.00_60
38,102221,9/26/2003,04,11.00_60
39,102221,1/12/2004,04,12.00_60
40,102221,12/16/2004,04,13.00_60
41,102221,8/4/2005,04,14.00_60
42,102221,10/13/2005,04,15.00_60
43,102221,7/24/2007,04,16.00_60
44,102221,5/2/2002,05,00.00_60
45,102221,7/23/2002,05,01.00_60
46,102221,10/25/2002,05,02.00_60
47,102221,2/25/2003,05,03.00_60
48,102221,6/6/2003,05,04.00_60
49,102221,9/26/2003,05,05.00_60
50,102221,1/12/2004,05,06.00_60
51,102221,12/16/2004,05,07.00_60
52,102221,8/4/2005,05,08.00_60
53,102221,10/13/2005,05,09.00_60
54,102221,7/24/2007,05,10.00_60
55,102221,2/25/2003,06,00.00_60
56,102221,6/6/2003,06,01.00_60
57,102221,9/26/2003,06,02.00_60
58,102221,1/12/2004,06,03.00_60
59,102221,3/12/2004,06,04.00_60
60,102221,6/23/2004,06,05.00_60
61,102221,9/30/2004,06,06.00_60
62,102221,12/16/2004,06,07.00_60
63,102221,5/4/2005,06,08.00_60
64,102221,8/4/2005,06,09.00_60
65,102221,10/13/2005,06,10.00_60
66,102221,1/23/2006,06,11.00_60
67,102221,5/2/2006,06,12.00_60
68,102221,10/24/2006,06,13.00_60
69,102221,7/24/2007,06,14.00_60
70,102221,2/23/2010,06,15.00_60
71,102221,10/20/2010,06,16.00_60
72,102221,12/16/2004,07,00.00_60
73,102221,5/4/2005,07,01.00_60
74,102221,8/4/2005,07,02.00_60
75,102221,10/13/2005,07,03.00_60
76,102221,1/23/2006,07,04.00_60
77,102221,5/2/2006,07,05.00_60
78,102221,8/4/2006,07,06.00_60
79,102221,10/24/2006,07,07.00_60
80,102221,2/15/2007,07,08.00_60
81,102221,7/24/2007,07,09.00_60
82,102221,2/7/2008,07,10.00_60
83,102221,7/1/2008,07,11.00_60
84,102221,8/12/2008,07,12.00_60
85,102221,1/13/2009,07,13.00_60
86,102221,4/23/2009,07,14.00_60
87,102221,6/30/2009,07,15.00_60
88,102221,8/24/2009,07,16.00_60
89,102221,2/23/2010,07,17.00_60
90,102221,10/20/2010,07,18.00_60
91,102221,8/12/2008,08,00.00_60
92,102221,4/23/2009,08,01.00_60
93,102221,6/30/2009,08,02.00_60
94,102221,8/24/2009,08,03.00_60
95,102221,2/23/2010,08,04.00_60
96,102221,10/20/2010,08,05.00_60
97,102221,2/23/2010,09,00.00_60
98,102221,4/14/2010,09,01.00_60
99,102221,10/20/2010,09,02.00_60
100,102221,12/14/2011,10,00.00_60
101,102221,6/8/2012,11,00.00_60
102,102221,11/27/2013,11,01.00_60
103,102221,12/8/2014,12,00.00_60
104,102221,9/29/2015,12,01.00_60
105,102221,9/16/2015,13,00.00_60
106,102221,5/20/2016,13,01.00_60
107,102221,2/15/2017,13,02.00_60
108,102221,2/15/2017,14,00.00_60
109,102221,7/13/2018,14,01.00_60
110,102221,7/19/2019,14,02.00_60
111,102221,7/13/2018,15,00.00_60
112,102221,12/12/2018,15,01.00_60
113,102221,5/9/2019,15,02.00_60
114,102221,7/19/2019,15,03.00_60
115,102221,11/15/2019,15,04.00_60
116,102221,7/19/2019,16,00.00_60
117,102221,11/15/2019,16,01.00_60
118,102222,5/26/2000,03,00.00_60
119,102222,1/8/2001,03,01.00_60
120,102222,5/22/2001,03,02.00_60
121,102222,10/31/2001,03,03.00_60
122,102222,10/17/2002,03,04.00_60
123,102222,2/25/2003,03,05.00_60
124,102222,12/9/2004,03,06.00_60
125,102222,10/11/2005,03,07.00_60
126,102222,2/25/2003,04,00.00_60
127,102222,12/9/2004,04,01.00_60
128,102222,10/11/2005,04,02.00_60
129,102222,2/25/2003,05,00.00_60
130,102222,12/9/2004,05,01.00_60
131,102222,10/11/2005,05,02.00_60
132,102222,2/25/2003,06,00.00_60
133,102222,6/6/2003,06,01.00_60
134,102222,9/26/2003,06,02.00_60
135,102222,1/12/2004,06,03.00_60
136,102222,3/12/2004,06,04.00_60
137,102222,6/23/2004,06,05.00_60
138,102222,9/30/2004,06,06.00_60
139,102222,12/16/2004,06,07.00_60
140,102222,5/4/2005,06,08.00_60
141,102222,10/11/2005,06,09.00_60
142,102222,1/23/2006,06,10.00_60
143,102222,5/2/2006,06,11.00_60
144,102222,8/7/2006,07,00.00_60
145,102222,2/1/2007,07,01.00_60
146,102222,7/24/2018,08,00.00_60
147,102222,7/24/2018,09,00.00_60
148,102222,7/24/2018,10,00.00_60
149,102222,7/24/2018,11,00.00_60
150,102222,6/27/2018,12,00.00_60
151,102222,7/24/2018,13,00.00_60
152,102222,7/24/2018,14,00.00_60
153,102222,6/27/2018,15,00.00_60
154,102223,7/31/2001,04,00.00_60
155,102223,10/26/2001,04,01.00_60
156,102223,3/8/2002,04,02.00_60
157,102223,7/23/2002,04,03.00_60
158,102223,2/25/2003,04,04.00_60
159,102223,6/6/2003,04,05.00_60
160,102223,9/26/2003,04,06.00_60
161,102223,1/12/2004,04,07.00_60
162,102223,3/12/2004,04,08.00_60
163,102223,6/23/2004,04,09.00_60
164,102223,9/30/2004,04,10.00_60
165,102223,12/9/2004,04,11.00_60
166,102223,5/4/2005,04,12.00_60
167,102223,10/11/2005,04,13.00_60
168,102223,7/23/2002,05,00.00_60
169,102223,2/25/2003,05,01.00_60
170,102223,6/6/2003,05,02.00_60
171,102223,9/26/2003,05,03.00_60
172,102223,1/12/2004,05,04.00_60
173,102223,3/12/2004,05,05.00_60
174,102223,6/23/2004,05,06.00_60
175,102223,9/30/2004,05,07.00_60
176,102223,12/9/2004,05,08.00_60
177,102223,5/4/2005,05,09.00_60
178,102223,10/11/2005,05,10.00_60
179,102223,1/24/2006,05,11.00_60
180,102223,2/25/2003,06,00.00_60
181,102223,6/6/2003,06,01.00_60
182,102223,9/26/2003,06,02.00_60
183,102223,1/12/2004,06,03.00_60
184,102223,3/12/2004,06,04.00_60
185,102223,6/23/2004,06,05.00_60
186,102223,9/30/2004,06,06.00_60
187,102223,12/9/2004,06,07.00_60
188,102223,5/4/2005,06,08.00_60
189,102223,10/11/2005,06,09.00_60
190,102223,1/24/2006,06,10.00_60
191,102223,5/4/2006,06,11.00_60
192,102223,8/3/2006,06,12.00_60
193,102223,10/1/2007,06,13.00_60
194,102223,4/23/2010,06,14.00_60
195,102223,2/25/2005,07,00.00_60
196,102223,10/11/2005,07,01.00_60
197,102223,1/24/2006,07,02.00_60
198,102223,8/3/2006,07,04.00_60
199,102223,10/26/2006,07,05.00_60
200,102223,2/8/2007,07,06.00_60
201,102223,7/11/2007,07,07.00_60
202,102223,8/17/2007,07,08.01_60
203,102223,10/1/2007,07,09.00_60
204,102223,2/12/2008,07,10.00_60
205,102223,7/2/2008,07,11.00_60
206,102223,10/28/2008,07,12.00_60
207,102223,1/15/2009,07,12.01_60
208,102223,4/23/2009,07,13.00_60
209,102223,4/23/2010,07,14.00_60
210,102223,9/15/2010,07,15.00_60
211,102223,1/7/2011,07,16.00_60
212,102223,3/1/2012,07,17.00_60
213,102223,7/2/2008,08,00.00_60
214,102223,10/28/2008,08,01.00_60
215,102223,1/15/2009,08,02.00_60
216,102223,4/23/2009,08,03.00_60
217,102223,10/22/2009,08,04.00_60
218,102223,4/14/2010,08,05.00_60
219,102223,10/27/2010,08,06.00_60
220,102223,1/7/2011,08,07.00_60
221,102223,3/1/2012,08,08.00_60
222,102223,10/22/2009,09,00.00_60
223,102223,4/14/2010,09,01.00_60
224,102223,10/27/2010,09,02.00_60
225,102223,1/7/2011,09,03.00_60
226,102223,3/1/2012,09,04.00_60
227,102223,10/27/2010,10,00.00_60
228,102223,1/7/2011,10,01.00_60
229,102223,3/16/2011,10,02.00_60
230,102223,5/12/2011,10,03.00_60
231,102223,6/30/2011,10,04.00_60
232,102223,9/21/2011,10,05.00_60
233,102223,3/1/2012,10,06.00_60
234,102223,3/1/2012,11,00.00_60
235,102223,12/12/2012,11,01.00_60
236,102223,7/12/2013,11,02.00_60
237,102223,6/19/2014,11,03.00_60
238,102223,5/19/2014,12,00.00_60
239,102223,9/9/2014,12,01.00_60
240,102223,3/6/2015,12,02.00_60
241,102223,3/10/2015,13,00.00_60
242,102223,9/8/2016,13,01.00_60
243,102223,5/22/2017,13,02.00_60
244,102223,6/13/2019,13,03.00_60
245,102223,7/25/2019,13,04.00_60
246,102223,5/22/2017,14,00.00_60
247,102223,7/2/2018,14,01.00_60
248,102223,7/25/2018,14,01.01_60
249,102223,6/13/2019,14,02.00_60
250,102223,7/25/2019,14,03.00_60
251,102223,7/2/2018,15,00.00_60
252,102223,7/25/2018,15,00.01_60
253,102223,2/15/2019,15,01.00_60
254,102223,6/13/2019,15,02.00_60
255,102223,7/25/2019,15,03.00_60
256,102224,4/19/2002,06,00.00_60
257,102224,12/16/2004,06,01.00_60
258,102224,1/23/2006,07,00.00_60
259,102224,10/6/2006,07,01.00_60
260,102224,10/24/2008,08,00.00_60
261,102224,9/19/2018,09,00.00_60
262,102224,9/19/2018,10,00.00_60
263,102224,9/19/2018,11,00.00_60
264,102224,9/19/2018,12,00.00_60
265,102224,9/19/2018,13,00.00_60
266,102224,9/19/2018,14,00.00_60
267,102225,4/19/2002,06,00.00_60
268,102225,2/10/2003,06,01.00_60
269,102225,6/6/2003,06,02.00_60
270,102225,1/12/2004,06,03.00_60
271,102225,3/12/2004,06,04.00_60
272,102225,9/30/2004,06,05.00_60
273,102225,12/9/2004,06,06.00_60
274,102225,4/28/2006,06,07.00_60
275,102225,10/4/2006,06,08.00_60
276,102225,5/4/2005,07,00.00_60
277,102225,10/6/2005,07,01.00_60
278,102225,1/23/2006,07,02.00_60
279,102225,4/28/2006,07,03.00_60
